id,bodypart,equipment,gifUrl,name,target
0001,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0001.gif',3/4 sit-up,abs
0002,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0002.gif',45° side bend,abs
0003,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0003.gif',air bike,abs
1512,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1512.gif',all fours squad stretch,quads
0006,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0006.gif',alternate heel touchers,abs
0007,back,cable,'http://d205bpvrqc9yn1.cloudfront.net/0007.gif',alternate lateral pulldown,lats
1368,lower legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1368.gif',ankle circles,calves
3293,back,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3293.gif',archer pull up,lats
3294,chest,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3294.gif',archer push up,pectorals
2355,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/2355.gif',arm slingers hanging bent knee legs,abs
2333,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/2333.gif',arm slingers hanging straight legs,abs
3214,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3214.gif',arms apart circular toe touch (male),glutes
3204,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3204.gif',arms overhead full sit-up (male),abs
0009,chest,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/0009.gif',assisted chest dip (kneeling),pectorals
0011,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0011.gif',assisted hanging knee raise,abs
0010,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0010.gif',assisted hanging knee raise with throw down,abs
1708,lower legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1708.gif',assisted lying calves stretch,calves
1709,upper legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1709.gif',assisted lying glutes stretch,glutes
